Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,4.7uF 50v,C98192
C10,0402,1,4.7uF,C23733
"C11, C4",0402,2,22uF,C415703
"C12, C13, C14, C15, C16, C17, C19, C21, C23, C25, C26, C27, C3, C5, C6, C9",0201,16,100n,C76939
"C18, C20",0402,2,2.2uF,
"C22, C24",0201,2,20pF,C76923
"C7, C8",0603,2,22uF,C2762594
CARD1,TF-SMD_TF-021B-H265,1,TF-021B-H265,C498185
"D1, D2, D3, D6",0402,4,LED_1_Green,C965793
"D4, D5",D_SOD-882,2,RB161QS-40_C28646385,C28646385
D7,0402,1,LED_1_Blue,C22355736
J35,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_MountingPin,
J36,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,
J37,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"L1, L2",IND-SMD_L3.0-W3.0_AFE303020S,2,XRTC303020D4R7MBCA,C39846837
"Q1, Q2",DFN-3L_L1.0-W0.6-P0.65-BR,2,AP1606,C2849580
"R1, R10, R24",0201,3,510R,C57784
"R11, R12, R13, R16, R17, R19",0201,6,10k,C106225
"R14, R15, R27, R28",0201,4,5.1k,C270344
"R18, R2, R26, R4, R6",0201,5,100k,C270364
"R20, R21",0201,2,1k,C270365
"R22, R23",0201,2,75R,C274878
R25,0201,1,2.4k,C166281
R3,0201,1,6.49k,C2107920
R5,0201,1,13.7k,C320695
R7,0201,1,39k,C473053
"R8, R9",0201,2,7.5k,C474437
"U1, U5",SOT-23-5,2,TLV75733PDBV,
"U11, U12",SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,2,TS2306A 240GF MSM 9_C2976675,C2976675
"U2, U3",SOT-23-6,2,LMR51430,
U4,SOT-583-8_L2.1-W1.6-P0.50-LS1.6-BL,1,TPS2116DRLR,C3235557
U6,PQFN50P300X250X97-14N,1,ICM-42688-P,
U7,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U8,21-0108G_U28E-5_MXM,1,AT7456E,
U9,LQFP-100_14x14mm_P0.5mm,1,STM32F405VGTx,
X1,CRYSTAL-SMD_4P-L2.5-W2.0-BL-A,1,X32258MOB4SI,C2682775
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,27MHz,
