Designator,Mid X,Mid Y,Rotation,Layer
C1,36.550001,-52.5625,270.0,bottom
C10,29.624999,-56.425,270.0,top
C11,26.2,-43.75,270.0,bottom
C12,29.700001,-35.914999,90.0,top
C13,43.1075,-41.1925,0.0,bottom
C14,29.7,-34.414999,270.0,top
C15,41.5075,-41.1925,0.0,bottom
C16,43.65,-51.7,90.0,bottom
C17,30.3,-43.8,0.0,top
C18,45.5,-50.0,270.0,top
C19,34.0,-30.4,270.0,top
C2,40.7625,-31.750001,180.0,bottom
C20,50.2,-34.2,0.0,top
C21,30.3,-44.5,0.0,top
C22,28.182843,-37.699999,180.0,top
C23,27.8,-44.67,90.0,top
C24,28.182843,-41.700002,0.0,top
C25,30.3,-41.5,180.0,top
C26,35.0,-49.7,90.0,top
C27,30.2,-39.0,0.0,top
C3,31.2,-54.1,270.0,bottom
C4,26.3,-52.4,90.0,bottom
C5,34.550001,-49.6,90.0,bottom
C6,37.7625,-33.750001,0.0,bottom
C7,36.550001,-56.2625,90.0,bottom
C8,44.7625,-31.750001,0.0,bottom
C9,32.2,-43.75,270.0,bottom
CARD1,44.15,-55.3,0.0,bottom
D1,53.0,-38.9,180.0,top
D2,53.0,-55.0,90.0,top
D3,53.0,-42.1,180.0,top
D4,26.0,-53.1,90.0,top
D5,25.7,-54.9,90.0,top
D6,53.0175,-41.05,180.0,top
D7,53.0,-40.0,180.0,top
H1,50.0,-30.0,0.0,top
H2,50.0,-50.0,0.0,top
H3,30.0,-50.0,0.0,top
H4,30.0,-30.0,0.0,top
J35,40.0,-27.0,180.0,bottom
J36,27.0,-38.0,90.0,bottom
J37,53.0,-40.0,270.0,bottom
L1,33.550001,-56.4625,270.0,bottom
L2,44.8,-34.750001,180.0,bottom
Q1,48.6,-54.0,90.0,top
Q2,45.3,-30.0,90.0,bottom
R1,52.6,-37.5,270.0,top
R10,51.25,-41.05,0.0,top
R11,25.7,-34.414999,90.0,top
R12,42.3075,-37.5425,0.0,bottom
R13,41.45,-51.8,270.0,bottom
R14,49.75,-39.15,180.0,top
R15,49.75,-38.4,180.0,top
R16,34.0,-39.0,180.0,bottom
R17,34.2,-35.75,180.0,bottom
R18,28.2,-43.47,180.0,top
R19,28.6,-44.67,90.0,top
R2,33.550001,-49.6,90.0,bottom
R20,37.5,-30.8,270.0,bottom
R21,28.182843,-42.6,0.0,top
R22,51.3,-39.4,180.0,top
R23,51.3,-40.2,0.0,top
R24,30.3,-45.2,0.0,top
R25,50.060001,-54.0,180.0,top
R26,46.300001,-30.0,90.0,bottom
R27,51.4,-37.4,270.0,top
R28,52.0,-43.0,180.0,top
R3,32.550001,-49.6,90.0,bottom
R4,37.7625,-35.750001,0.0,bottom
R5,37.7625,-34.750001,0.0,bottom
R6,29.625,-54.425,270.0,top
R7,27.625,-53.7,180.0,top
R8,53.0,-53.0,270.0,top
R9,51.3,-42.1,0.0,top
U1,28.5,-55.1,180.0,bottom
U11,35.5,-40.7,0.0,bottom
U12,35.5,-37.3,180.0,bottom
U2,33.550001,-52.5625,270.0,bottom
U3,40.7625,-34.750001,180.0,bottom
U4,27.625,-55.425,90.0,top
U5,29.2,-44.25,180.0,bottom
U6,27.7,-35.415,90.0,top
U7,42.3075,-39.3925,90.0,bottom
U8,40.0,-46.1,270.0,bottom
U9,40.0,-40.0,270.0,top
X1,28.182843,-39.7,270.0,top
Y1,39.0,-40.099999,90.0,bottom
